 Placa ; Tipo de Vehiculo ; Marca ; Modelo 
DRPT-79;CAMION;MERCEDES BENZ;ATEGO 1725 48
GSSZ-69;AUTOMOVIL;NISSAN;NOTE SENSE MT
JGRW-31;MINIBUS;HYUNDAI;H-1 MS 2.5 CRDI 6M/T GLS 10S AC 2AB
CFYT-21;CAMIONETA;DODGE;DAKOTA QUAD CAB LARAMIE 4
HTRD-28;CARRO BOMBA;IVECO;150 E 30 4X4
BYDL-39;CAMION;VOLKSWAGEN;26.220M
DRPT-79;CAMION;MERCEDES BENZ;ATEGO 1725 48
CJKV-74;CARRO BOMBA;RENAULT;MIDLUM 240.13 4X4
CDYT-55;CAMIONETA;CHEVROLET;MONTANA RC 1.8 DH II
GTHZ-64;FURGON;BAIC;CARGO
CTVY-63;CAMIONETA;NISSAN;TERRANO PICK UP DXS
JKHS-70;MINIBUS;FORD;TRANSIT MINIBUS 17-1
FHBW-98;AUTOMOVIL;KIA MOTORS;CERATO EX MT AB (NVO)
FVJJ-80;CAMIONETA;DONGFENG;DF 2500 CABINA DOBLE
BWXF-94;CAMIONETA;NISSAN;TERRANO PICK UP AXS
BFJS-48;STATION WAGON;JEEP;COMPASS SPORT 4X4
BBTT-91;AUTOMOVIL;SUZUKI;ALTO 800 GL
FVRG-96;CAMIONETA;TOYOTA;NEW HILUX DIESEL 4X2 FULL
HGSB-46;AUTOMOVIL;SUZUKI;ALTO 800 DLX
DZKL-45;CAMIONETA;VOLKSWAGEN;AMAROK TRENDLINE 4X2
GRYZ-29;STATION WAGON;SUZUKI;APV MINVAN EURO4
HTHG-83;AUTOMOVIL;SUZUKI;CELERIO 1.0 GLX BT
FFJH-78;CAMIONETA;NISSAN;TERRANO PICK UP DXS
DCVV-55;CAMIONETA;ZX;GRAND TIGER 2.2
CFYT-21;CAMIONETA;DODGE;DAKOTA QUAD CAB LARAMIE 4
CKPK-95;CAMIONETA;GREAT WALL;WINGLE 4X2 AB
CSCP-34;CAMIONETA;TOYOTA;HILUX DIESEL 4X2 A/A
BDRL-88;CAMIONETA;NISSAN;TERRANO AX-SP TDI 4X4 SV
FDFL-67;AUTOMOVIL;HYUNDAI;I-10 1.1 FL GLS
HVWV-32;STATION WAGON;SUBARU;FORESTER 2.0 DSL AWD CVT
BLZR-12;CAMIONETA;NISSAN;TERRANO DX 4X2
DKGF-26;CAMIONETA;TOYOTA;NEW HILUX DIESEL 4X4
BCHX-71;AUTOMOVIL;KIA MOTORS;RIO JB 1.4 LX MT
GZHP-74;AUTOMOVIL;SUZUKI;ALTO 800 DLX
FGKS-92;CAMIONETA;FORD;F-150 CC PLATINUM 4X4 3.5
FPBD-45;CAMIONETA;TOYOTA;NEW HILUX DIESEL 4X4 FULL
FRWH-98;STATION WAGON;LIFAN;VAN EX 1.3 AC
GZHP-43;AUTOMOVIL;RENAULT;SYMBOL EXPRESSION MT
CCXB-31;AUTOMOVIL;CHEVROLET;CORSA III HB 5P 1.6 AC
BFRK-14;AUTOMOVIL;FORD;FIESTA TREND 1.6L
GRYK-25;AUTOMOVIL;MERCEDES BENZ;E200
BGYR-79;CAMIONETA;TOYOTA;NEW HILUX DIESEL 4X4 2.7
BYJD-21;CAMIONETA;NISSAN;TERRANO PICK UP/DXS
CRFS-54;JEEP;SUZUKI;JIMNY 1.3 JLX WINCHE
FDDW-55;STATION WAGON;CHERY;DESTINY AC
CFDR-64;STATION WAGON;SUZUKI;GRAND NOMADE GLX SPORT 4X
BLZJ-79;CAMIONETA;HYUNDAI;PORTER HR HD TDI CAM. PS
FWWH-61;CAMIONETA;CHEVROLET;D-MAX E4 CC 2.5D 4WD DAB
FPYW-52;FURGON;FIAT;FIORINO
DTDS-65;CAMIONETA;CHEVROLET;SILVERADO LT II CC 5.3 4W
FGJZ-68;STATION WAGON;SSANGYONG;NEW KYRON XDI 4X4 TC
DZYV-74;AUTOMOVIL;MERCEDES BENZ;E200 CGI BLUE EFFICIENCY
BRSS-58;STATION WAGON;FORD;ECOSPORT XLS 4X2
HSRS-41;AUTOMOVIL;KIA MOTORS;MORNING EX 1.0L 5MT AC
HVJJ-74;STATION WAGON;TOYOTA;RAV4 SUPER LUJO 4X4 724ML
CDRK-35;AUTOMOVIL;HYUNDAI;I-10 1.1 GLS
CRHB-38;CAMIONETA;CHEVROLET;D-MAX CC 3.0D 4WD DAB ABS
BDVJ-63;STATION WAGON;HYUNDAI;SANTA FE 2.7 GLS AT FULL
CDWC-95;AUTOMOVIL;HYUNDAI;ACCENT MC 1.4 GL PS AV
DJWX-53;CAMIONETA;MITSUBISHI;L200 D/C TD KATANA CRT 4X
GXVW-86;CAMIONETA;MITSUBISHI;L200 KATANA CRT
CZZH-45;CAMIONETA;CHEVROLET;D-MAX TH CC 3.0D 4WD DAB
